fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-02-03,1240,60,9.868348570307717e-05,0.5166666666666667
1,2010-01-06,2010-02-04,2010-04-28,1300,60,5.782482912763953e-05,0.43333333333333335
2,2010-03-31,2010-04-29,2010-07-21,1360,60,0.0002769598795566708,0.6
3,2010-06-23,2010-07-22,2010-10-13,1420,60,9.160650370176882e-05,0.45
4,2010-09-15,2010-10-14,2011-01-05,1480,60,4.943862586515024e-05,0.5833333333333334
5,2010-12-08,2011-01-06,2011-03-30,1540,60,6.825065793236718e-05,0.6833333333333333
6,2011-03-02,2011-03-31,2011-06-22,1600,60,5.659581802319735e-05,0.6166666666666667
7,2011-05-25,2011-06-23,2011-09-14,1660,60,0.0004205306468065828,0.48333333333333334
8,2011-08-17,2011-09-15,2011-12-07,1720,60,0.0003295905189588666,0.43333333333333335
9,2011-11-09,2011-12-08,2012-02-29,1780,60,5.789567876490764e-05,0.5833333333333334
10,2012-02-01,2012-03-01,2012-05-23,1840,60,5.953483923804015e-05,0.6
11,2012-04-25,2012-05-24,2012-08-15,1900,60,9.842163126450032e-05,0.48333333333333334
12,2012-07-18,2012-08-16,2012-11-07,1960,60,5.5436568800359964e-05,0.45
13,2012-10-10,2012-11-08,2013-01-30,2020,60,4.9556521844351664e-05,0.5333333333333333
14,2013-01-02,2013-01-31,2013-04-24,2080,60,5.663097545038909e-05,0.65
15,2013-03-27,2013-04-25,2013-07-17,2140,60,7.121389353414997e-05,0.38333333333333336
16,2013-06-19,2013-07-18,2013-10-09,2200,60,4.9688151193549857e-05,0.5333333333333333
17,2013-09-11,2013-10-10,2014-01-01,2260,60,3.303982884972356e-05,0.5166666666666667
18,2013-12-04,2014-01-02,2014-03-26,2320,60,5.1922412239946425e-05,0.55
19,2014-02-26,2014-03-27,2014-06-18,2380,60,4.183882992947474e-05,0.7
20,2014-05-21,2014-06-19,2014-09-10,2440,60,3.621862197178416e-05,0.4
21,2014-08-13,2014-09-11,2014-12-03,2500,60,6.821405258961022e-05,0.5666666666666667
22,2014-11-05,2014-12-04,2015-02-25,2560,60,9.776833758223802e-05,0.4
23,2015-01-28,2015-02-26,2015-05-20,2620,60,4.82560062664561e-05,0.6
24,2015-04-22,2015-05-21,2015-08-12,2680,60,5.068474274594337e-05,0.55
25,2015-07-15,2015-08-13,2015-11-04,2740,60,0.0001850495027611032,0.6666666666666666
26,2015-10-07,2015-11-05,2016-01-27,2800,60,0.0001396571024088189,0.4
27,2015-12-30,2016-01-28,2016-04-20,2860,60,8.467044244753197e-05,0.5833333333333334
28,2016-03-23,2016-04-21,2016-07-13,2920,60,8.623295434517786e-05,0.5833333333333334
29,2016-06-15,2016-07-14,2016-10-05,2980,60,3.891572850989178e-05,0.48333333333333334
30,2016-09-07,2016-10-06,2016-12-28,3040,60,5.330325438990258e-05,0.5
31,2016-11-30,2016-12-29,2017-03-22,3100,60,2.981863872264512e-05,0.5333333333333333
32,2017-02-22,2017-03-23,2017-06-14,3160,60,1.761965177138336e-05,0.43333333333333335
33,2017-05-17,2017-06-15,2017-09-06,3220,60,2.989186396007426e-05,0.43333333333333335
34,2017-08-09,2017-09-07,2017-11-29,3280,60,1.2370083823043387e-05,0.6333333333333333
35,2017-11-01,2017-11-30,2018-02-21,3340,60,9.804354340303689e-05,0.55
36,2018-01-24,2018-02-22,2018-05-16,3400,60,0.0001170612740679644,0.5166666666666667
37,2018-04-18,2018-05-17,2018-08-08,3460,60,2.9005388569203205e-05,0.5333333333333333
38,2018-07-11,2018-08-09,2018-10-31,3520,60,8.882539987098426e-05,0.5166666666666667
39,2018-10-03,2018-11-01,2019-01-23,3580,60,0.0002119292039424181,0.45
40,2018-12-26,2019-01-24,2019-04-17,3640,60,5.7554807426640764e-05,0.4166666666666667
41,2019-03-20,2019-04-18,2019-07-10,3700,60,5.5412099754903466e-05,0.5333333333333333
42,2019-06-12,2019-07-11,2019-10-02,3760,60,0.00010449971887283027,0.5333333333333333
43,2019-09-04,2019-10-03,2019-12-25,3820,60,2.5785999241634272e-05,0.6166666666666667
44,2019-11-27,2019-12-26,2020-03-18,3880,60,0.0009635196765884757,0.48333333333333334
45,2020-02-19,2020-03-19,2020-06-10,3940,60,0.0006463209283538163,0.5666666666666667
46,2020-05-13,2020-06-11,2020-09-02,4000,60,0.00010009652760345489,0.7
47,2020-08-05,2020-09-03,2020-11-25,4060,60,0.00017454913177061826,0.48333333333333334
48,2020-10-28,2020-11-26,2021-02-17,4120,60,5.411424353951588e-05,0.55
49,2021-01-20,2021-02-18,2021-05-12,4180,60,9.221284562954679e-05,0.5666666666666667
50,2021-04-14,2021-05-13,2021-08-04,4240,60,0.00010697251855162904,0.5166666666666667
51,2021-07-07,2021-08-05,2021-10-27,4300,60,5.6273634982062504e-05,0.45
52,2021-09-29,2021-10-28,2022-01-19,4360,60,9.077987488126382e-05,0.55
53,2021-12-22,2022-01-20,2022-04-13,4420,60,0.00019541423534974456,0.4666666666666667
54,2022-03-16,2022-04-14,2022-07-06,4480,60,0.00036299831117503345,0.4666666666666667
55,2022-06-08,2022-07-07,2022-09-28,4540,60,0.00018582203483674675,0.5166666666666667
56,2022-08-31,2022-09-29,2022-12-21,4600,60,0.00024398982350248843,0.5833333333333334
57,2022-11-23,2022-12-22,2023-03-15,4660,60,9.183818474411964e-05,0.6
58,2023-02-15,2023-03-16,2023-06-07,4720,60,0.00010492758883628994,0.43333333333333335
59,2023-05-10,2023-06-08,2023-08-30,4780,60,4.9502632464282215e-05,0.48333333333333334
60,2023-08-02,2023-08-31,2023-11-22,4840,60,7.26649523130618e-05,0.5333333333333333
61,2023-10-25,2023-11-23,2024-02-14,4900,60,4.002144851256162e-05,0.6
62,2024-01-17,2024-02-15,2024-05-08,4960,60,5.77872087887954e-05,0.4
63,2024-04-10,2024-05-09,2024-07-31,5020,60,5.11914913658984e-05,0.5166666666666667
64,2024-07-03,2024-08-01,2024-10-23,5080,60,8.556160173611715e-05,0.6333333333333333
65,2024-09-25,2024-10-24,2025-01-15,5140,60,6.20048595010303e-05,0.5333333333333333
66,2024-12-18,2025-01-16,2025-04-09,5200,60,0.0004435399023350328,0.5
67,2025-03-12,2025-04-10,2025-07-02,5260,60,9.601964120520279e-05,0.5333333333333333
68,2025-06-04,2025-07-03,2025-09-24,5320,60,6.280296656768769e-05,0.4666666666666667
69,2025-08-27,2025-09-25,2025-12-17,5380,60,6.171704444568604e-05,0.6833333333333333
70,2025-11-19,2025-12-18,2026-03-11,5440,60,6.341268453979865e-05,0.43333333333333335
