fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-15,2009-11-13,2010-02-04,1240,60,7.049158096313477,0.4166666666666667
1,2010-01-07,2010-02-05,2010-04-29,1300,60,6.152490139007568,0.6
2,2010-04-01,2010-04-30,2010-07-22,1360,60,4.398942947387695,0.7166666666666667
3,2010-06-24,2010-07-23,2010-10-14,1420,60,4.787513256072998,0.55
4,2010-09-16,2010-10-15,2011-01-06,1480,60,4.56626558303833,0.38333333333333336
5,2010-12-09,2011-01-07,2011-03-31,1540,60,3.837557554244995,0.5333333333333333
6,2011-03-03,2011-04-01,2011-06-23,1600,60,3.9378228187561035,0.35
7,2011-05-26,2011-06-24,2011-09-15,1660,60,10.734105110168457,0.36666666666666664
8,2011-08-18,2011-09-16,2011-12-08,1720,60,3.795811176300049,0.4666666666666667
9,2011-11-10,2011-12-09,2012-03-01,1780,60,4.489671230316162,0.5666666666666667
10,2012-02-02,2012-03-02,2012-05-24,1840,60,8.700037002563477,0.45
11,2012-04-26,2012-05-25,2012-08-16,1900,60,7.938276290893555,0.5
12,2012-07-19,2012-08-17,2012-11-08,1960,60,5.376240253448486,0.6
13,2012-10-11,2012-11-09,2013-01-31,2020,60,4.866307735443115,0.5833333333333334
14,2013-01-03,2013-02-01,2013-04-25,2080,60,4.452595233917236,0.5833333333333334
15,2013-03-28,2013-04-26,2013-07-18,2140,60,3.3236210346221924,0.7
16,2013-06-20,2013-07-19,2013-10-10,2200,60,4.6111531257629395,0.43333333333333335
17,2013-09-12,2013-10-11,2014-01-02,2260,60,4.714749336242676,0.4666666666666667
18,2013-12-05,2014-01-03,2014-03-27,2320,60,5.934271335601807,0.6333333333333333
19,2014-02-27,2014-03-28,2014-06-19,2380,60,5.541219234466553,0.36666666666666664
20,2014-05-22,2014-06-20,2014-09-11,2440,60,4.6618428230285645,0.7
21,2014-08-14,2014-09-12,2014-12-04,2500,60,5.638184547424316,0.31666666666666665
22,2014-11-06,2014-12-05,2015-02-26,2560,60,8.50506591796875,0.4
23,2015-01-29,2015-02-27,2015-05-21,2620,60,4.457304000854492,0.7833333333333333
24,2015-04-23,2015-05-22,2015-08-13,2680,60,3.0088374614715576,0.45
25,2015-07-16,2015-08-14,2015-11-05,2740,60,3.7312240600585938,0.6
26,2015-10-08,2015-11-06,2016-01-28,2800,60,2.5052285194396973,0.6833333333333333
27,2015-12-31,2016-01-29,2016-04-21,2860,60,3.7829434871673584,0.4666666666666667
28,2016-03-24,2016-04-22,2016-07-14,2920,60,10.666276931762695,0.36666666666666664
29,2016-06-16,2016-07-15,2016-10-06,2980,60,5.013147830963135,0.55
30,2016-09-08,2016-10-07,2016-12-29,3040,60,13.098639488220215,0.5833333333333334
31,2016-12-01,2016-12-30,2017-03-23,3100,60,3.955632209777832,0.5166666666666667
32,2017-02-23,2017-03-24,2017-06-15,3160,60,4.856591701507568,0.35
33,2017-05-18,2017-06-16,2017-09-07,3220,60,4.197152137756348,0.5833333333333334
34,2017-08-10,2017-09-08,2017-11-30,3280,60,4.932043075561523,0.5666666666666667
35,2017-11-02,2017-12-01,2018-02-22,3340,60,6.324618816375732,0.2833333333333333
36,2018-01-25,2018-02-23,2018-05-17,3400,60,4.348787784576416,0.43333333333333335
37,2018-04-19,2018-05-18,2018-08-09,3460,60,5.149212837219238,0.6
38,2018-07-12,2018-08-10,2018-11-01,3520,60,7.307587146759033,0.3333333333333333
39,2018-10-04,2018-11-02,2019-01-24,3580,60,7.826783180236816,0.6166666666666667
40,2018-12-27,2019-01-25,2019-04-18,3640,60,5.169276714324951,0.5
41,2019-03-21,2019-04-19,2019-07-11,3700,60,5.291121006011963,0.6166666666666667
42,2019-06-13,2019-07-12,2019-10-03,3760,60,12.535579681396484,0.36666666666666664
43,2019-09-05,2019-10-04,2019-12-26,3820,60,3.24161434173584,0.6333333333333333
44,2019-11-28,2019-12-27,2020-03-19,3880,60,15.055703163146973,0.25
45,2020-02-20,2020-03-20,2020-06-11,3940,60,2.4881296157836914,0.6333333333333333
46,2020-05-14,2020-06-12,2020-09-03,4000,60,5.469376087188721,0.35
47,2020-08-06,2020-09-04,2020-11-26,4060,60,4.242903232574463,0.55
48,2020-10-29,2020-11-27,2021-02-18,4120,60,10.820509910583496,0.4166666666666667
49,2021-01-21,2021-02-19,2021-05-13,4180,60,2.979841947555542,0.43333333333333335
50,2021-04-15,2021-05-14,2021-08-05,4240,60,4.108977794647217,0.7333333333333333
51,2021-07-08,2021-08-06,2021-10-28,4300,60,5.086562633514404,0.48333333333333334
52,2021-09-30,2021-10-29,2022-01-20,4360,60,3.867732048034668,0.48333333333333334
53,2021-12-23,2022-01-21,2022-04-14,4420,60,6.138082504272461,0.23333333333333334
54,2022-03-17,2022-04-15,2022-07-07,4480,60,3.853802442550659,0.4666666666666667
55,2022-06-09,2022-07-08,2022-09-29,4540,60,4.59389591217041,0.35
56,2022-09-01,2022-09-30,2022-12-22,4600,60,6.457582950592041,0.45
57,2022-11-24,2022-12-23,2023-03-16,4660,60,3.525660753250122,0.6166666666666667
58,2023-02-16,2023-03-17,2023-06-08,4720,60,2.6190848350524902,0.6166666666666667
59,2023-05-11,2023-06-09,2023-08-31,4780,60,4.809208393096924,0.6833333333333333
60,2023-08-03,2023-09-01,2023-11-23,4840,60,5.606545925140381,0.48333333333333334
61,2023-10-26,2023-11-24,2024-02-15,4900,60,4.9784369468688965,0.48333333333333334
62,2024-01-18,2024-02-16,2024-05-09,4960,60,5.4390153884887695,0.5666666666666667
63,2024-04-11,2024-05-10,2024-08-01,5020,60,6.3422627449035645,0.6833333333333333
64,2024-07-04,2024-08-02,2024-10-24,5080,60,6.801705360412598,0.3333333333333333
65,2024-09-26,2024-10-25,2025-01-16,5140,60,6.27617883682251,0.45
66,2024-12-19,2025-01-17,2025-04-10,5200,60,8.700554847717285,0.43333333333333335
67,2025-03-13,2025-04-11,2025-07-03,5260,60,4.3956298828125,0.5166666666666667
68,2025-06-05,2025-07-04,2025-09-25,5320,60,6.107015609741211,0.5
69,2025-08-28,2025-09-26,2025-12-18,5380,60,5.129734516143799,0.4166666666666667
70,2025-11-20,2025-12-19,2026-03-12,5440,60,4.817418098449707,0.48333333333333334
