fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-15,2009-11-13,2010-02-04,1240,60,6.892588138580322,0.5833333333333334
1,2010-01-07,2010-02-05,2010-04-29,1300,60,5.4789605140686035,0.35
2,2010-04-01,2010-04-30,2010-07-22,1360,60,4.630172252655029,0.7333333333333333
3,2010-06-24,2010-07-23,2010-10-14,1420,60,4.453166484832764,0.6666666666666666
4,2010-09-16,2010-10-15,2011-01-06,1480,60,7.585444927215576,0.18333333333333332
5,2010-12-09,2011-01-07,2011-03-31,1540,60,7.489737510681152,0.48333333333333334
6,2011-03-03,2011-04-01,2011-06-23,1600,60,4.080697059631348,0.5833333333333334
7,2011-05-26,2011-06-24,2011-09-15,1660,60,14.490445137023926,0.55
8,2011-08-18,2011-09-16,2011-12-08,1720,60,5.573024272918701,0.5333333333333333
9,2011-11-10,2011-12-09,2012-03-01,1780,60,4.093786239624023,0.5666666666666667
10,2012-02-02,2012-03-02,2012-05-24,1840,60,6.813319206237793,0.36666666666666664
11,2012-04-26,2012-05-25,2012-08-16,1900,60,4.815859794616699,0.7
12,2012-07-19,2012-08-17,2012-11-08,1960,60,7.843942642211914,0.5833333333333334
13,2012-10-11,2012-11-09,2013-01-31,2020,60,4.9978227615356445,0.36666666666666664
14,2013-01-03,2013-02-01,2013-04-25,2080,60,7.638521194458008,0.5
15,2013-03-28,2013-04-26,2013-07-18,2140,60,3.99822998046875,0.3
16,2013-06-20,2013-07-19,2013-10-10,2200,60,4.414238929748535,0.7666666666666667
17,2013-09-12,2013-10-11,2014-01-02,2260,60,3.1819686889648438,0.5
18,2013-12-05,2014-01-03,2014-03-27,2320,60,3.9818358421325684,0.7166666666666667
19,2014-02-27,2014-03-28,2014-06-19,2380,60,7.802092552185059,0.26666666666666666
20,2014-05-22,2014-06-20,2014-09-11,2440,60,5.044901371002197,0.5166666666666667
21,2014-08-14,2014-09-12,2014-12-04,2500,60,13.377434730529785,0.5333333333333333
22,2014-11-06,2014-12-05,2015-02-26,2560,60,4.480187892913818,0.4666666666666667
23,2015-01-29,2015-02-27,2015-05-21,2620,60,3.4455759525299072,0.7
24,2015-04-23,2015-05-22,2015-08-13,2680,60,7.427857398986816,0.26666666666666666
25,2015-07-16,2015-08-14,2015-11-05,2740,60,10.123074531555176,0.4166666666666667
26,2015-10-08,2015-11-06,2016-01-28,2800,60,5.765537738800049,0.5333333333333333
27,2015-12-31,2016-01-29,2016-04-21,2860,60,3.052518129348755,0.65
28,2016-03-24,2016-04-22,2016-07-14,2920,60,4.021307945251465,0.5
29,2016-06-16,2016-07-15,2016-10-06,2980,60,3.952923059463501,0.6
30,2016-09-08,2016-10-07,2016-12-29,3040,60,5.997009754180908,0.4166666666666667
31,2016-12-01,2016-12-30,2017-03-23,3100,60,3.520164966583252,0.7
32,2017-02-23,2017-03-24,2017-06-15,3160,60,4.12384033203125,0.5666666666666667
33,2017-05-18,2017-06-16,2017-09-07,3220,60,5.9051289558410645,0.55
34,2017-08-10,2017-09-08,2017-11-30,3280,60,12.623733520507812,0.36666666666666664
35,2017-11-02,2017-12-01,2018-02-22,3340,60,14.819207191467285,0.36666666666666664
36,2018-01-25,2018-02-23,2018-05-17,3400,60,4.646993637084961,0.36666666666666664
37,2018-04-19,2018-05-18,2018-08-09,3460,60,4.795880317687988,0.5166666666666667
38,2018-07-12,2018-08-10,2018-11-01,3520,60,14.05997371673584,0.55
39,2018-10-04,2018-11-02,2019-01-24,3580,60,9.74831485748291,0.4666666666666667
40,2018-12-27,2019-01-25,2019-04-18,3640,60,3.460660457611084,0.4166666666666667
41,2019-03-21,2019-04-19,2019-07-11,3700,60,7.262653827667236,0.4666666666666667
42,2019-06-13,2019-07-12,2019-10-03,3760,60,11.572880744934082,0.38333333333333336
43,2019-09-05,2019-10-04,2019-12-26,3820,60,3.6526474952697754,0.45
44,2019-11-28,2019-12-27,2020-03-19,3880,60,40.0561408996582,0.21666666666666667
45,2020-02-20,2020-03-20,2020-06-11,3940,60,3.1937332153320312,0.55
46,2020-05-14,2020-06-12,2020-09-03,4000,60,2.13820481300354,0.7333333333333333
47,2020-08-06,2020-09-04,2020-11-26,4060,60,7.918867588043213,0.5
48,2020-10-29,2020-11-27,2021-02-18,4120,60,6.155577659606934,0.4166666666666667
49,2021-01-21,2021-02-19,2021-05-13,4180,60,5.071617126464844,0.45
50,2021-04-15,2021-05-14,2021-08-05,4240,60,4.2285895347595215,0.43333333333333335
51,2021-07-08,2021-08-06,2021-10-28,4300,60,5.9031171798706055,0.36666666666666664
52,2021-09-30,2021-10-29,2022-01-20,4360,60,5.74130916595459,0.38333333333333336
53,2021-12-23,2022-01-21,2022-04-14,4420,60,7.747382640838623,0.31666666666666665
54,2022-03-17,2022-04-15,2022-07-07,4480,60,11.849148750305176,0.45
55,2022-06-09,2022-07-08,2022-09-29,4540,60,6.9533610343933105,0.4
56,2022-09-01,2022-09-30,2022-12-22,4600,60,4.037809371948242,0.4166666666666667
57,2022-11-24,2022-12-23,2023-03-16,4660,60,5.921504497528076,0.5
58,2023-02-16,2023-03-17,2023-06-08,4720,60,4.057748317718506,0.4166666666666667
59,2023-05-11,2023-06-09,2023-08-31,4780,60,5.596566200256348,0.36666666666666664
60,2023-08-03,2023-09-01,2023-11-23,4840,60,5.372775554656982,0.48333333333333334
61,2023-10-26,2023-11-24,2024-02-15,4900,60,6.424016952514648,0.5
62,2024-01-18,2024-02-16,2024-05-09,4960,60,12.667243003845215,0.26666666666666666
63,2024-04-11,2024-05-10,2024-08-01,5020,60,6.990273475646973,0.5666666666666667
64,2024-07-04,2024-08-02,2024-10-24,5080,60,5.042288303375244,0.45
65,2024-09-26,2024-10-25,2025-01-16,5140,60,9.567403793334961,0.6333333333333333
66,2024-12-19,2025-01-17,2025-04-10,5200,60,19.79450035095215,0.6
67,2025-03-13,2025-04-11,2025-07-03,5260,60,3.5422987937927246,0.65
68,2025-06-05,2025-07-04,2025-09-25,5320,60,5.1391801834106445,0.6666666666666666
69,2025-08-28,2025-09-26,2025-12-18,5380,60,3.4267115592956543,0.6
70,2025-11-20,2025-12-19,2026-03-12,5440,60,5.539724349975586,0.2833333333333333
