fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-04-28,1240,120,0.00017407118866685778,0.45
1,2010-03-31,2010-04-29,2010-10-13,1360,120,0.0002724238147493452,0.49166666666666664
2,2010-09-15,2010-10-14,2011-03-30,1480,120,0.00023250356025528163,0.425
3,2011-03-02,2011-03-31,2011-09-14,1600,120,0.00026729851379059255,0.4666666666666667
4,2011-08-17,2011-09-15,2012-02-29,1720,120,0.00029902823735028505,0.45
5,2012-02-01,2012-03-01,2012-08-15,1840,120,0.0001785674539860338,0.5666666666666667
6,2012-07-18,2012-08-16,2013-01-30,1960,120,6.226518598850816e-05,0.48333333333333334
7,2013-01-02,2013-01-31,2013-07-17,2080,120,0.0003091427788604051,0.5333333333333333
8,2013-06-19,2013-07-18,2014-01-01,2200,120,0.0003113721904810518,0.45
9,2013-12-04,2014-01-02,2014-06-18,2320,120,8.92940879566595e-05,0.4583333333333333
10,2014-05-21,2014-06-19,2014-12-03,2440,120,0.00010402540647191927,0.4583333333333333
11,2014-11-05,2014-12-04,2015-05-20,2560,120,0.00024327378196176142,0.5
12,2015-04-22,2015-05-21,2015-11-04,2680,120,9.013408271130174e-05,0.525
13,2015-10-07,2015-11-05,2016-04-20,2800,120,0.0001345339260296896,0.48333333333333334
14,2016-03-23,2016-04-21,2016-10-05,2920,120,0.00011359474592609331,0.5583333333333333
15,2016-09-07,2016-10-06,2017-03-22,3040,120,0.00015433998487424105,0.5666666666666667
16,2017-02-22,2017-03-23,2017-09-06,3160,120,5.047856757300906e-05,0.4166666666666667
17,2017-08-09,2017-09-07,2018-02-21,3280,120,4.7481789806624874e-05,0.5333333333333333
18,2018-01-24,2018-02-22,2018-08-08,3400,120,3.316371294204146e-05,0.45
19,2018-07-11,2018-08-09,2019-01-23,3520,120,4.5292701543075964e-05,0.43333333333333335
20,2018-12-26,2019-01-24,2019-07-10,3640,120,5.473136479849927e-05,0.49166666666666664
21,2019-06-12,2019-07-11,2019-12-25,3760,120,7.05771817592904e-05,0.475
22,2019-11-27,2019-12-26,2020-06-10,3880,120,0.00023086411238182336,0.48333333333333334
23,2020-05-13,2020-06-11,2020-11-25,4000,120,0.0001304282050114125,0.4
24,2020-10-28,2020-11-26,2021-05-12,4120,120,8.692534174770117e-05,0.5333333333333333
25,2021-04-14,2021-05-13,2021-10-27,4240,120,6.2579769291915e-05,0.5416666666666666
26,2021-09-29,2021-10-28,2022-04-13,4360,120,0.000119025819003582,0.48333333333333334
27,2022-03-16,2022-04-14,2022-09-28,4480,120,0.0001065791875589639,0.5583333333333333
28,2022-08-31,2022-09-29,2023-03-15,4600,120,0.0001205795633723028,0.45
29,2023-02-15,2023-03-16,2023-08-30,4720,120,7.20562384231016e-05,0.5
30,2023-08-02,2023-08-31,2024-02-14,4840,120,6.622930959565565e-05,0.43333333333333335
31,2024-01-17,2024-02-15,2024-07-31,4960,120,0.00012323111877776682,0.5083333333333333
32,2024-07-03,2024-08-01,2025-01-15,5080,120,0.00011588637426029891,0.4583333333333333
33,2024-12-18,2025-01-16,2025-07-02,5200,120,0.00023226010671351105,0.525
34,2025-06-04,2025-07-03,2025-12-17,5320,120,0.00042101816507056355,0.5583333333333333
