fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-04-28,1240,120,7.889337575761601e-05,0.4166666666666667
1,2010-03-31,2010-04-29,2010-10-13,1360,120,0.00021176131849642843,0.49166666666666664
2,2010-09-15,2010-10-14,2011-03-30,1480,120,7.989953155629337e-05,0.43333333333333335
3,2011-03-02,2011-03-31,2011-09-14,1600,120,0.000258048705291003,0.4666666666666667
4,2011-08-17,2011-09-15,2012-02-29,1720,120,0.00020433118334040046,0.45
5,2012-02-01,2012-03-01,2012-08-15,1840,120,0.00010319225111743435,0.5166666666666667
6,2012-07-18,2012-08-16,2013-01-30,1960,120,7.273865048773587e-05,0.5083333333333333
7,2013-01-02,2013-01-31,2013-07-17,2080,120,7.022076169960201e-05,0.5083333333333333
8,2013-06-19,2013-07-18,2014-01-01,2200,120,5.024320853408426e-05,0.45
9,2013-12-04,2014-01-02,2014-06-18,2320,120,5.1758568588411435e-05,0.5
10,2014-05-21,2014-06-19,2014-12-03,2440,120,7.166946306824684e-05,0.44166666666666665
11,2014-11-05,2014-12-04,2015-05-20,2560,120,6.92908579367213e-05,0.4083333333333333
12,2015-04-22,2015-05-21,2015-11-04,2680,120,0.0001471780560677871,0.44166666666666665
13,2015-10-07,2015-11-05,2016-04-20,2800,120,0.00011340589844621718,0.44166666666666665
14,2016-03-23,2016-04-21,2016-10-05,2920,120,7.015188748482615e-05,0.4666666666666667
15,2016-09-07,2016-10-06,2017-03-22,3040,120,3.902204116457142e-05,0.48333333333333334
16,2017-02-22,2017-03-23,2017-09-06,3160,120,3.374832886038348e-05,0.48333333333333334
17,2017-08-09,2017-09-07,2018-02-21,3280,120,7.171292236307636e-05,0.45
18,2018-01-24,2018-02-22,2018-08-08,3400,120,8.296659507323056e-05,0.49166666666666664
19,2018-07-11,2018-08-09,2019-01-23,3520,120,0.00015719544899184257,0.425
20,2018-12-26,2019-01-24,2019-07-10,3640,120,6.974294228712097e-05,0.525
21,2019-06-12,2019-07-11,2019-12-25,3760,120,7.693946099607274e-05,0.4583333333333333
22,2019-11-27,2019-12-26,2020-06-10,3880,120,0.0008343710214830935,0.5083333333333333
23,2020-05-13,2020-06-11,2020-11-25,4000,120,0.00018574780551716685,0.375
24,2020-10-28,2020-11-26,2021-05-12,4120,120,7.721727160969749e-05,0.5166666666666667
25,2021-04-14,2021-05-13,2021-10-27,4240,120,0.0001048338453983888,0.5833333333333334
26,2021-09-29,2021-10-28,2022-04-13,4360,120,0.00014389166608452797,0.48333333333333334
27,2022-03-16,2022-04-14,2022-09-28,4480,120,0.0002670157700777054,0.5416666666666666
28,2022-08-31,2022-09-29,2023-03-15,4600,120,0.00020249631779734045,0.48333333333333334
29,2023-02-15,2023-03-16,2023-08-30,4720,120,7.355783600360155e-05,0.5416666666666666
30,2023-08-02,2023-08-31,2024-02-14,4840,120,5.929636245127767e-05,0.48333333333333334
31,2024-01-17,2024-02-15,2024-07-31,4960,120,5.4695370636181906e-05,0.475
32,2024-07-03,2024-08-01,2025-01-15,5080,120,9.089829109143466e-05,0.425
33,2024-12-18,2025-01-16,2025-07-02,5200,120,0.0002591395459603518,0.48333333333333334
34,2025-06-04,2025-07-03,2025-12-17,5320,120,6.351523188641295e-05,0.5333333333333333
