fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-04-28,1240,120,0.0002360197395319119,0.5
1,2010-03-31,2010-04-29,2010-10-13,1360,120,0.0004925348330289125,0.49166666666666664
2,2010-09-15,2010-10-14,2011-03-30,1480,120,0.00014657658175565302,0.45
3,2011-03-02,2011-03-31,2011-09-14,1600,120,0.0002695184957701713,0.5833333333333334
4,2011-08-17,2011-09-15,2012-02-29,1720,120,0.0003654246393125504,0.45
5,2012-02-01,2012-03-01,2012-08-15,1840,120,0.0004793718399014324,0.55
6,2012-07-18,2012-08-16,2013-01-30,1960,120,9.862562001217157e-05,0.4083333333333333
7,2013-01-02,2013-01-31,2013-07-17,2080,120,0.00010065812239190564,0.44166666666666665
8,2013-06-19,2013-07-18,2014-01-01,2200,120,0.0002054413198493421,0.48333333333333334
9,2013-12-04,2014-01-02,2014-06-18,2320,120,0.00010441937774885446,0.45
10,2014-05-21,2014-06-19,2014-12-03,2440,120,8.291892299894243e-05,0.525
11,2014-11-05,2014-12-04,2015-05-20,2560,120,0.00023789802799001336,0.5
12,2015-04-22,2015-05-21,2015-11-04,2680,120,0.00022035859001334757,0.525
13,2015-10-07,2015-11-05,2016-04-20,2800,120,0.00015091658860910684,0.5416666666666666
14,2016-03-23,2016-04-21,2016-10-05,2920,120,7.982570969033986e-05,0.5
15,2016-09-07,2016-10-06,2017-03-22,3040,120,0.0002542560105212033,0.5083333333333333
16,2017-02-22,2017-03-23,2017-09-06,3160,120,4.55379813502077e-05,0.5166666666666667
17,2017-08-09,2017-09-07,2018-02-21,3280,120,6.709691660944372e-05,0.5
18,2018-01-24,2018-02-22,2018-08-08,3400,120,0.00012378697283565998,0.4666666666666667
19,2018-07-11,2018-08-09,2019-01-23,3520,120,5.55364676984027e-05,0.475
20,2018-12-26,2019-01-24,2019-07-10,3640,120,4.372178591438569e-05,0.5
21,2019-06-12,2019-07-11,2019-12-25,3760,120,0.0001324982731603086,0.5166666666666667
22,2019-11-27,2019-12-26,2020-06-10,3880,120,0.0004335744306445122,0.48333333333333334
23,2020-05-13,2020-06-11,2020-11-25,4000,120,0.00010736176773207262,0.5
24,2020-10-28,2020-11-26,2021-05-12,4120,120,7.542482489952818e-05,0.5166666666666667
25,2021-04-14,2021-05-13,2021-10-27,4240,120,7.9773148172535e-05,0.44166666666666665
26,2021-09-29,2021-10-28,2022-04-13,4360,120,0.0001512745366198942,0.44166666666666665
27,2022-03-16,2022-04-14,2022-09-28,4480,120,0.000168881073477678,0.55
28,2022-08-31,2022-09-29,2023-03-15,4600,120,0.0001701149740256369,0.5583333333333333
29,2023-02-15,2023-03-16,2023-08-30,4720,120,0.00012758543016389012,0.425
30,2023-08-02,2023-08-31,2024-02-14,4840,120,0.0001601179246790707,0.5666666666666667
31,2024-01-17,2024-02-15,2024-07-31,4960,120,8.888561569619924e-05,0.44166666666666665
32,2024-07-03,2024-08-01,2025-01-15,5080,120,0.0002095723175443709,0.5333333333333333
33,2024-12-18,2025-01-16,2025-07-02,5200,120,0.00011127427569590509,0.475
34,2025-06-04,2025-07-03,2025-12-17,5320,120,9.57300144364126e-05,0.5416666666666666
