fold,train_end,test_start,test_end,n_train,n_test,mse,hit
0,2009-10-14,2009-11-12,2010-04-28,1240,120,0.0003736848011612892,0.43333333333333335
1,2010-03-31,2010-04-29,2010-10-13,1360,120,0.0006725282873958349,0.43333333333333335
2,2010-09-15,2010-10-14,2011-03-30,1480,120,0.0004634976794477552,0.4083333333333333
3,2011-03-02,2011-03-31,2011-09-14,1600,120,0.0010697878897190094,0.4666666666666667
4,2011-08-17,2011-09-15,2012-02-29,1720,120,0.0005001685349270701,0.45
5,2012-02-01,2012-03-01,2012-08-15,1840,120,0.00023570959456264973,0.5
6,2012-07-18,2012-08-16,2013-01-30,1960,120,0.00023612241784576327,0.44166666666666665
7,2013-01-02,2013-01-31,2013-07-17,2080,120,0.00040451891254633665,0.525
8,2013-06-19,2013-07-18,2014-01-01,2200,120,0.00022236931545194238,0.4666666666666667
9,2013-12-04,2014-01-02,2014-06-18,2320,120,0.00016853729903232306,0.4583333333333333
10,2014-05-21,2014-06-19,2014-12-03,2440,120,0.0002611620584502816,0.4666666666666667
11,2014-11-05,2014-12-04,2015-05-20,2560,120,0.00029469019500538707,0.4666666666666667
12,2015-04-22,2015-05-21,2015-11-04,2680,120,0.0002992271038237959,0.55
13,2015-10-07,2015-11-05,2016-04-20,2800,120,0.0004714946262538433,0.44166666666666665
14,2016-03-23,2016-04-21,2016-10-05,2920,120,0.0003454165125731379,0.48333333333333334
15,2016-09-07,2016-10-06,2017-03-22,3040,120,0.0003486732020974159,0.48333333333333334
16,2017-02-22,2017-03-23,2017-09-06,3160,120,0.00024295617185998708,0.575
17,2017-08-09,2017-09-07,2018-02-21,3280,120,0.00014535868831444532,0.45
18,2018-01-24,2018-02-22,2018-08-08,3400,120,0.0002105172461597249,0.5166666666666667
19,2018-07-11,2018-08-09,2019-01-23,3520,120,0.00027642311761155725,0.4583333333333333
20,2018-12-26,2019-01-24,2019-07-10,3640,120,0.00017487611330579966,0.5083333333333333
21,2019-06-12,2019-07-11,2019-12-25,3760,120,0.0002524047449696809,0.475
22,2019-11-27,2019-12-26,2020-06-10,3880,120,0.002397834090515971,0.5166666666666667
23,2020-05-13,2020-06-11,2020-11-25,4000,120,0.0007717161788605154,0.5083333333333333
24,2020-10-28,2020-11-26,2021-05-12,4120,120,0.0005494916695170105,0.44166666666666665
25,2021-04-14,2021-05-13,2021-10-27,4240,120,0.0003980968031100929,0.475
26,2021-09-29,2021-10-28,2022-04-13,4360,120,0.0004108930006623268,0.45
27,2022-03-16,2022-04-14,2022-09-28,4480,120,0.0006077622529119253,0.45
28,2022-08-31,2022-09-29,2023-03-15,4600,120,0.0004439714248292148,0.575
29,2023-02-15,2023-03-16,2023-08-30,4720,120,0.0002355962642468512,0.4666666666666667
30,2023-08-02,2023-08-31,2024-02-14,4840,120,0.00017567047325428575,0.44166666666666665
31,2024-01-17,2024-02-15,2024-07-31,4960,120,0.00012252623855601996,0.4666666666666667
32,2024-07-03,2024-08-01,2025-01-15,5080,120,0.00015985543723218143,0.5666666666666667
33,2024-12-18,2025-01-16,2025-07-02,5200,120,0.00038721374585293233,0.44166666666666665
34,2025-06-04,2025-07-03,2025-12-17,5320,120,0.00016422038606833667,0.48333333333333334
